[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::relu_         0.00%     499.000us         0.00%       1.438ms      23.967us       0.000us         0.00%       6.903ms     115.050us           0 b           0 b           0 b           0 b            60            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     205.000us         0.00%       1.382ms     115.167us       0.000us         0.00%      16.117ms       1.343ms           0 b           0 b       1.79 Gb      -2.53 Mb            12            --  
                                          aten::reshape         0.00%     880.000us         0.00%       1.292ms       2.737us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           472            --  
                                    aten::empty_strided         0.00%       1.279ms         0.00%       1.279ms       5.419us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      30.28 Gb      30.28 Gb           236            --  
                                            aten::zero_         0.00%      74.000us         0.00%       1.181ms      36.906us       0.000us         0.00%       1.468ms      45.875us           0 b           0 b           0 b           0 b            32            --  
                                        aten::unsqueeze         0.00%     809.000us         0.00%       1.059ms       4.073us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                          aten::permute         0.00%     723.000us         0.00%       1.021ms       2.454us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                       aten::clamp_min_         0.00%     492.000us         0.00%     939.000us      15.650us       6.903ms         0.02%       6.903ms     115.050us           0 b           0 b           0 b           0 b            60            --  
                                           aten::linear         0.00%      89.000us         0.00%     937.000us      78.083us       0.000us         0.00%      23.748ms       1.979ms           0 b           0 b     520.00 Kb           0 b            12            --  
                                         AddmmBackward0         0.00%     171.000us         0.00%     878.000us      73.167us       0.000us         0.00%      16.038ms       1.337ms           0 b           0 b       1.79 Gb           0 b            12            --  
                                            aten::_conj         0.00%     677.000us         0.00%     797.000us       2.554us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                          aten::resize_         0.00%     734.000us         0.00%     734.000us       1.748us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.53 Mb       1.53 Mb           420            --  
                                            aten::addmm         0.00%     448.000us         0.00%     734.000us      61.167us      23.748ms         0.09%      23.748ms       1.979ms           0 b           0 b     520.00 Kb     520.00 Kb            12         3.838  
                                       aten::max_pool2d         0.00%      72.000us         0.00%     599.000us      29.950us       0.000us         0.00%       2.869ms     143.450us           0 b           0 b     282.91 Mb           0 b            20            --  
                          aten::max_pool2d_with_indices         0.00%     378.000us         0.00%     527.000us      26.350us       2.869ms         0.01%       2.869ms     143.450us           0 b           0 b     282.91 Mb     282.91 Mb            20            --  
                                               aten::mm         0.00%     273.000us         0.00%     518.000us      21.583us      16.038ms         0.06%      16.038ms     668.250us           0 b           0 b       1.79 Gb       1.79 Gb            24         7.677  
                                   aten::_reshape_alias         0.00%     433.000us         0.00%     433.000us       0.910us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           476            --  
                                                aten::t         0.00%     173.000us         0.00%     358.000us       5.967us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                          aten::dropout         0.00%      23.000us         0.00%     339.000us      42.375us       0.000us         0.00%      38.000us       4.750us           0 b           0 b     640.00 Kb           0 b             8            --  
                                        aten::_neg_view         0.00%     284.000us         0.00%     326.000us       3.135us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                   aten::native_dropout         0.00%     130.000us         0.00%     316.000us      39.500us      38.000us         0.00%      38.000us       4.750us           0 b           0 b     640.00 Kb           0 b             8            --  
                                      aten::as_strided_         0.00%     302.000us         0.00%     302.000us       0.726us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -11.25 Gb     -11.25 Gb           416            --  
                                  cudaStreamSynchronize         0.00%     286.000us         0.00%     286.000us      23.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      47.000us         0.00%     269.000us      33.625us       0.000us         0.00%      16.000us       2.000us           0 b           0 b    -128.00 Kb    -640.00 Kb             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      34.000us         0.00%     226.000us      56.500us       0.000us         0.00%     115.000us      28.750us           0 b           0 b      -1.53 Mb      -3.06 Mb             4            --  
                                 NativeDropoutBackward0         0.00%      27.000us         0.00%     222.000us      27.750us       0.000us         0.00%      16.000us       2.000us           0 b           0 b     512.00 Kb           0 b             8            --  
                          aten::native_dropout_backward         0.00%      70.000us         0.00%     195.000us      24.375us      16.000us         0.00%      16.000us       2.000us           0 b           0 b     512.00 Kb           0 b             8            --  
                             AdaptiveAvgPool2DBackward0         0.00%      14.000us         0.00%     192.000us      48.000us       0.000us         0.00%     115.000us      28.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                                        aten::transpose         0.00%     114.000us         0.00%     185.000us       3.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      40.000us         0.00%     178.000us      44.500us     107.000us         0.00%     115.000us      28.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                                            aten::alias         0.00%     162.000us         0.00%     162.000us       0.389us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                             aten::view         0.00%     162.000us         0.00%     162.000us       1.397us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116            --  
                              aten::adaptive_avg_pool2d         0.00%      14.000us         0.00%     144.000us      36.000us       0.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%      61.000us         0.00%     137.000us      11.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                             aten::_adaptive_avg_pool2d         0.00%      53.000us         0.00%     130.000us      32.500us     154.000us         0.00%     154.000us      38.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                                 cudaFuncSetCacheConfig         0.00%     125.000us         0.00%     125.000us       0.300us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                       aten::zeros_like         0.00%      16.000us         0.00%     108.000us      27.000us       0.000us         0.00%       8.000us       2.000us           0 b           0 b       1.53 Mb           0 b             4            --  
                                        cudaMemsetAsync         0.00%     101.000us         0.00%     101.000us       8.417us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::zeros         0.00%      44.000us         0.00%      86.000us      10.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                             TBackward0         0.00%      21.000us         0.00%      76.000us       6.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                           aten::expand         0.00%      42.000us         0.00%      56.000us       3.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      19.000us         0.00%      43.000us      10.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::detach         0.00%      15.000us         0.00%      37.000us       9.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                          aten::flatten         0.00%      10.000us         0.00%      31.000us       7.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                  ReshapeAliasBackward0         0.00%       6.000us         0.00%      24.000us       6.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 55.614s
Self CUDA time total: 27.816s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing VGG16_CIFAR100_Conv2dRFFTPhasorFunction_date-20240210-165907.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.02%       8.857ms        69.52%       30.663s      23.880ms        1.688s         7.65%        1.691s       1.317ms           0 b           0 b    -367.73 Mb    -377.05 Mb          1284            --  
                                          ProfilerStep*         0.00%     248.000us        50.11%       22.102s        5.526s       0.000us         0.00%        6.434s        1.609s       4.60 Mb        -808 b           0 b           0 b             4            --  
                                        cudaMemcpyAsync        33.15%       14.624s        33.15%       14.624s      87.048ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%      63.000us        32.91%       14.516s        1.210s       0.000us         0.00%       3.568ms     297.333us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
