[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR100_Conv2dRFFTFunction_date-20240210-170631.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::randn         0.00%      76.000us         0.06%      52.755ms       6.594ms       0.000us         0.00%       0.000us       0.000us      32.75 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.06%      52.347ms         0.06%      52.347ms       6.543ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     155.000us         0.06%      50.720ms       3.170ms       0.000us         0.00%       9.186ms     574.125us           0 b           0 b     112.39 Mb    -244.74 Mb            16            --  
                          MaxPool2DWithIndicesBackward0         0.00%     131.000us         0.06%      50.565ms       3.160ms       0.000us         0.00%       9.186ms     574.125us           0 b           0 b     357.13 Mb           0 b            16            --  
                 aten::max_pool2d_with_indices_backward         0.00%     301.000us         0.06%      50.434ms       3.152ms       7.649ms         0.02%       9.186ms     574.125us           0 b           0 b     357.13 Mb     340.97 Mb            16            --  
                                            aten::empty         0.05%      42.557ms         0.05%      42.557ms       4.720us       0.000us         0.00%       0.000us       0.000us      32.75 Mb      32.75 Mb     556.11 Gb     556.11 Gb          9016            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%     267.000us         0.04%      37.825ms       1.051ms       0.000us         0.00%      13.319ms     369.972us           0 b           0 b       1.65 Mb    -245.83 Mb            36            --  
                                     AvgPool2DBackward0         0.00%     238.000us         0.04%      37.558ms       1.043ms       0.000us         0.00%      13.319ms     369.972us           0 b           0 b     247.48 Mb           0 b            36            --  
                              aten::avg_pool2d_backward         0.00%     453.000us         0.04%      37.320ms       1.037ms      13.319ms         0.03%      13.319ms     369.972us           0 b           0 b     247.48 Mb     247.48 Mb            36            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      27.000us         0.04%      35.198ms       8.800ms       0.000us         0.00%      70.000us      17.500us           0 b           0 b      15.75 Mb    -256.00 Kb             4            --  
                                          MeanBackward1         0.00%      47.000us         0.04%      35.171ms       8.793ms       0.000us         0.00%      70.000us      17.500us           0 b           0 b      16.00 Mb           0 b             4            --  
                                              aten::div         0.00%     102.000us         0.04%      35.092ms       8.773ms      70.000us         0.00%      70.000us      17.500us           0 b           0 b      16.00 Mb      16.00 Mb             4            --  
                                            aten::zero_         0.00%     102.000us         0.03%      28.649ms     596.854us       0.000us         0.00%       2.171ms      45.229us           0 b           0 b           0 b           0 b            48            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      39.000us         0.03%      28.647ms       7.162ms       0.000us         0.00%       8.000us       2.000us           0 b           0 b     -64.00 Kb    -320.00 Kb             4            --  
                                 NativeDropoutBackward0         0.00%      29.000us         0.03%      28.608ms       7.152ms       0.000us         0.00%       8.000us       2.000us           0 b           0 b     256.00 Kb           0 b             4            --  
                          aten::native_dropout_backward         0.00%      65.000us         0.03%      28.579ms       7.145ms       8.000us         0.00%       8.000us       2.000us           0 b           0 b     256.00 Kb           0 b             4            --  
    autograd::engine::evaluate_function: SliceBackward0         0.00%     129.000us         0.03%      28.387ms       2.366ms       0.000us         0.00%       2.109ms     175.750us           0 b           0 b     -69.09 Mb    -232.79 Mb            12            --  
                                         SliceBackward0         0.00%      58.000us         0.02%      16.875ms       1.406ms       0.000us         0.00%       1.258ms     104.833us           0 b           0 b      98.22 Mb           0 b            12            --  
                                   aten::slice_backward         0.00%      60.000us         0.02%      16.817ms       1.401ms       0.000us         0.00%       1.258ms     104.833us           0 b           0 b      98.22 Mb           0 b            12            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     215.000us         0.02%      16.283ms       4.071ms       0.000us         0.00%     121.000us      30.250us           0 b           0 b       3.13 Mb    -256.00 Kb             4            --  
                                       aten::empty_like         0.01%       5.046ms         0.02%      15.782ms       7.767us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      54.31 Gb           0 b          2032            --  
                                             aten::real         0.00%       4.102ms         0.02%      15.475ms      11.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1336            --  
                                              aten::cat         0.00%       1.091ms         0.02%      15.258ms     238.406us       3.275ms         0.01%       3.275ms      51.172us           0 b           0 b     359.47 Mb     359.47 Mb            64            --  
                                             aten::imag         0.00%       3.943ms         0.02%      14.053ms      10.519us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1336            --  
