[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::zeros         0.00%      45.000us         0.00%      86.000us      10.750us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                        aten::transpose         0.00%      41.000us         0.00%      68.000us       3.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                            aten::zero_         0.00%      19.000us         0.00%      66.000us       5.500us       0.000us         0.00%     195.000us      16.250us           0 b           0 b           0 b           0 b            12            --  
                                        cudaBindTexture         0.00%      54.000us         0.00%      54.000us       6.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 39.235s
Self CUDA time total: 23.577s
[0m
[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing DenseNet121_CIFAR100_Conv2dRFFTPhasorFunction_date-20240209-090450.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     102.000us        60.51%       19.233s        4.808s       0.000us         0.00%        5.392s        1.348s       4.60 Mb        -544 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        36.58%       11.626s        36.58%       11.626s     284.593us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         40852            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.01%       4.467ms        23.64%        7.513s      15.783ms       0.000us         0.00%        9.582s      20.131ms           0 b           0 b      24.84 Gb    -378.72 Mb           476            --  
                       Conv2dRFFTPhasorFunctionBackward         0.32%     102.405ms        23.62%        7.508s      15.774ms       0.000us         0.00%        9.582s      20.131ms           0 b           0 b      25.21 Gb    -927.23 Gb           476            --  
                                            aten::copy_         0.23%      74.359ms        23.21%        7.376s     659.001us        1.514s         7.90%        1.514s     135.242us           0 b           0 b      -1.80 Gb      -1.80 Gb         11192            --  
                               Conv2dRFFTPhasorFunction         0.20%      65.084ms        19.42%        6.171s      12.965ms       0.000us         0.00%        5.358s      11.256ms           0 b           0 b     387.01 Mb    -477.57 Gb           476            --  
                                        aten::fft_rfftn         0.03%      10.074ms        15.44%        4.908s       2.062ms       0.000us         0.00%        2.134s     896.833us           0 b           0 b      55.08 Gb     -36.59 Gb          2380            --  
                        Conv2dRFFTPhasorFunction Step#9         9.92%        3.154s        15.13%        4.809s        4.809s       0.000us         0.00%        1.348s        1.348s          -4 b      -2.30 Mb           0 b    -530.16 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#10         9.92%        3.154s        15.13%        4.809s        4.809s       0.000us         0.00%        1.348s        1.348s          -4 b      -2.30 Mb           0 b    -528.84 Mb             1            --  
                        Conv2dRFFTPhasorFunction Step#8         9.92%        3.154s        15.13%        4.808s        4.808s       0.000us         0.00%        1.348s        1.348s       4.60 Mb       2.30 Mb           0 b    -528.84 Mb             1            --  
                       Conv2dRFFTPhasorFunction Step#11         9.92%        3.153s        15.13%        4.808s        4.808s       0.000us         0.00%        1.348s        1.348s          -4 b      -2.30 Mb           0 b    -530.16 Mb             1            --  
                                              aten::abs         3.34%        1.062s        14.26%        4.531s     793.326us       0.000us         0.00%     968.340ms     169.527us           0 b           0 b      18.49 Gb     -82.28 Gb          5712            --  
                                        cudaMemcpyAsync        13.93%        4.427s        13.93%        4.427s       2.277ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1944            --  
                                               aten::to         0.00%      62.000us        12.34%        3.921s     245.071ms       0.000us         0.00%       4.162ms     260.125us       9.19 Mb           0 b       9.20 Mb           0 b            16            --  
                                         aten::_to_copy         0.00%     126.000us        12.34%        3.921s     326.756ms       0.000us         0.00%       4.162ms     346.833us       9.19 Mb           0 b       9.20 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     303.000us        12.33%        3.919s     979.739ms       0.000us         0.00%       2.913ms     728.250us       9.19 Mb           0 b      -9.19 Mb      -9.19 Mb             4            --  
                                        ToCopyBackward0         0.00%      12.000us        12.33%        3.919s     979.663ms       0.000us         0.00%       2.913ms     728.250us       9.19 Mb           0 b           0 b           0 b             4            --  
                                         aten::_fft_r2c         0.23%      72.624ms        12.22%        3.883s       1.631ms        1.903s         9.93%        1.903s     799.399us           0 b           0 b      42.96 Gb    -116.06 Gb          2380            --  
