[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing EfficientNetB3_CIFAR100_Conv2dRFFTFunction_date-20240210-170328.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     226.000us        55.96%       18.790s        4.698s       0.000us         0.00%        4.869s        1.217s       9.19 Mb        -808 b           0 b           0 b             4            --  
                                       cudaLaunchKernel        36.24%       12.169s        36.24%       12.169s     387.105us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         31436            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.02%       6.529ms        34.45%       11.568s      28.078ms       0.000us         0.00%        9.627s      23.365ms           0 b           0 b      12.08 Gb      -1.77 Gb           412            --  
                       Conv2dRFFTPhasorFunctionBackward         0.27%      91.384ms        34.37%       11.541s      28.011ms       0.000us         0.00%        9.626s      23.363ms           0 b           0 b      13.78 Gb    -983.11 Gb           412            --  
                                            aten::copy_         0.20%      65.672ms        17.18%        5.768s     613.654us     951.900ms         5.09%     951.900ms     101.266us           0 b           0 b    -450.11 Mb    -450.11 Mb          9400            --  
                        Conv2dRFFTPhasorFunction Step#8        11.07%        3.716s        13.99%        4.698s        4.698s       0.000us         0.00%        1.217s        1.217s       9.19 Mb       4.59 Mb           0 b      -1.31 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#10        11.07%        3.716s        13.99%        4.698s        4.698s       0.000us         0.00%        1.217s        1.217s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                       Conv2dRFFTPhasorFunction Step#11        11.07%        3.716s        13.99%        4.697s        4.697s       0.000us         0.00%        1.217s        1.217s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                        Conv2dRFFTPhasorFunction Step#9        11.06%        3.714s        13.98%        4.696s        4.696s       0.000us         0.00%        1.217s        1.217s          -4 b      -4.60 Mb           0 b      -1.31 Gb             1            --  
                                       aten::fft_irfftn         0.01%       3.888ms        12.95%        4.347s       3.517ms       0.000us         0.00%        1.593s       1.289ms           0 b           0 b      14.69 Gb           0 b          1236            --  
                                         aten::_fft_c2r         0.13%      43.597ms        12.93%        4.343s       3.514ms        1.326s         7.09%        1.593s       1.289ms           0 b           0 b      14.69 Gb     -55.45 Gb          1236            --  
                                              aten::abs         2.63%     884.442ms        11.82%        3.970s     802.933us       0.000us         0.00%     575.169ms     116.337us           0 b           0 b      13.72 Gb     -48.22 Gb          4944            --  
                                            aten::angle         2.63%     881.829ms        10.80%        3.625s     733.269us       0.000us         0.00%     572.321ms     115.761us           0 b           0 b      32.80 Gb     -47.78 Gb          4944            --  
                                        cudaMemcpyAsync        10.09%        3.386s        10.09%        3.386s       1.411ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2400            --  
                               Conv2dRFFTPhasorFunction         0.21%      69.479ms         9.64%        3.238s       7.859ms       0.000us         0.00%        4.783s      11.608ms           0 b           0 b     935.69 Mb    -499.10 Gb           412            --  
                                        aten::fft_rfftn         0.02%       7.695ms         7.57%        2.543s       1.235ms       0.000us         0.00%        1.186s     575.601us           0 b           0 b      31.68 Gb     -18.88 Gb          2060            --  
                                         aten::_fft_r2c         0.17%      56.676ms         6.58%        2.210s       1.073ms        1.026s         5.49%        1.026s     498.282us           0 b           0 b      24.51 Gb     -66.41 Gb          2060            --  
                                               aten::to         0.00%     151.000us         6.48%        2.174s      18.120ms       0.000us         0.00%      11.935ms      99.458us      18.38 Mb           0 b      18.39 Mb           0 b           120            --  
                                         aten::_to_copy         0.00%     208.000us         6.48%        2.174s     181.189ms       0.000us         0.00%      11.935ms     994.583us      18.38 Mb           0 b      18.39 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     128.000us         6.46%        2.170s     542.469ms       0.000us         0.00%       8.842ms       2.211ms      18.38 Mb           0 b     -18.38 Mb     -18.38 Mb             4            --  
                                        ToCopyBackward0         0.00%      24.000us         6.46%        2.170s     542.437ms       0.000us         0.00%       8.842ms       2.211ms      18.38 Mb           0 b           0 b           0 b             4            --  
                                              aten::mul         0.17%      55.578ms         5.69%        1.912s     399.277us        7.902s        42.26%        7.902s       1.650ms      -1.06 Kb      -1.06 Kb     876.93 Gb     876.93 Gb          4788     94642.089  
                                            aten::clone         0.05%      17.175ms         5.39%        1.811s     450.084us       0.000us         0.00%     457.871ms     113.785us           0 b           0 b      50.28 Gb           0 b          4024            --  
                                  aten::constant_pad_nd         0.02%       7.346ms         2.68%     898.760ms     729.513us       0.000us         0.00%     172.207ms     139.778us           0 b           0 b      27.49 Gb           0 b          1232            --  
                                              aten::sum         0.08%      26.952ms         1.96%     658.405ms     424.230us        1.595s         8.53%        1.595s       1.028ms           0 b           0 b      16.29 Gb      16.29 Gb          1552            --  
                                             aten::add_         0.05%      15.776ms         1.84%     618.851ms     354.034us      13.694ms         0.07%      13.694ms       7.834us           0 b           0 b      -1.50 Kb      -1.50 Kb          1748            --  
                                              aten::pad         0.01%       2.543ms         1.72%     576.019ms     699.052us       0.000us         0.00%      12.930ms      15.692us           0 b           0 b       1.44 Gb           0 b           824            --  
                                              aten::add         0.06%      19.327ms         1.60%     537.361ms     330.887us        1.559s         8.34%        1.559s     959.670us           0 b           0 b     175.69 Gb     175.69 Gb          1624       519.378  
                                              aten::exp         1.59%     533.342ms         1.59%     533.342ms     431.506us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     349.95 Gb     349.95 Gb          1236            --  
autograd::engine::evaluate_function: torch::autograd...         0.02%       5.187ms         1.48%     496.131ms     363.732us       0.000us         0.00%      11.897ms       8.722us           0 b           0 b     -13.06 Gb           0 b          1364            --  
                        torch::autograd::AccumulateGrad         0.02%       6.475ms         1.46%     490.944ms     359.930us       0.000us         0.00%      11.897ms       8.722us           0 b           0 b     -13.06 Gb     -13.06 Gb          1364            --  
                                             aten::mul_         0.01%       4.689ms         1.09%     367.008ms     595.792us       6.000us         0.00%     125.860ms     204.318us           0 b       1.06 Kb           0 b           0 b           616            --  
                                            aten::fill_         0.01%       4.537ms         0.52%     173.375ms     420.813us     104.816ms         0.56%     104.816ms     254.408us           0 b           0 b           0 b           0 b           412            --  
                                            aten::silu_         0.01%       4.031ms         0.39%     132.476ms     424.603us      12.417ms         0.07%      24.498ms      78.519us           0 b           0 b       1.39 Gb           0 b           312            --  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%       4.643ms         0.37%     124.561ms     399.234us       0.000us         0.00%      32.489ms     104.131us           0 b           0 b      -1.59 Gb      -3.15 Gb           312            --  
                                CudnnBatchNormBackward0         0.01%       2.475ms         0.36%     119.918ms     384.353us       0.000us         0.00%      32.489ms     104.131us           0 b           0 b       1.56 Gb           0 b           312            --  
                        aten::cudnn_batch_norm_backward         0.02%       7.320ms         0.35%     117.443ms     376.420us      32.489ms         0.17%      32.489ms     104.131us           0 b           0 b       1.56 Gb           0 b           312            --  
                                       aten::batch_norm         0.00%     772.000us         0.33%     111.651ms     357.856us       0.000us         0.00%      22.946ms      73.545us           0 b           0 b       1.60 Gb           0 b           312            --  
                           aten::_batch_norm_impl_index         0.00%       1.012ms         0.33%     110.879ms     355.381us       0.000us         0.00%      22.946ms      73.545us           0 b           0 b       1.60 Gb           0 b           312            --  
      autograd::engine::evaluate_function: MulBackward0         0.01%       2.198ms         0.33%     109.932ms     610.733us       0.000us         0.00%      17.803ms      98.906us           0 b           0 b    -493.48 Mb      -1.73 Gb           180            --  
                                 aten::cudnn_batch_norm         0.04%      14.593ms         0.33%     109.867ms     352.138us      22.946ms         0.12%      22.946ms      73.545us           0 b           0 b       1.60 Gb           0 b           312            --  
