[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing AlexNet_CIFAR100_Conv2dRFFTFunction_date-20240212-071549.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.01%       1.254ms         0.01%       1.491ms       7.766us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     158.000us         0.01%       1.478ms     123.167us       0.000us         0.00%       9.989ms     832.417us           0 b           0 b      84.28 Mb    -283.75 Mb            12            --  
                                           aten::narrow         0.00%     460.000us         0.01%       1.464ms       6.536us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           224            --  
                             aten::convolution_backward         0.00%     586.000us         0.01%       1.459ms     364.750us      26.405ms         0.23%      27.529ms       6.882ms           0 b           0 b     147.36 Mb     146.84 Mb             4            --  
                                           aten::conv2d         0.00%      46.000us         0.01%       1.430ms     357.500us       0.000us         0.00%       6.662ms       1.665ms           0 b           0 b     189.06 Mb           0 b             4        35.982  
                                      aten::convolution         0.00%     119.000us         0.01%       1.384ms     346.000us       0.000us         0.00%       6.662ms       1.665ms           0 b           0 b     189.06 Mb           0 b             4            --  
                                            aten::addmm         0.00%     755.000us         0.01%       1.379ms     114.917us      12.455ms         0.11%      12.455ms       1.038ms           0 b           0 b       8.10 Mb       8.10 Mb            12        28.127  
                          MaxPool2DWithIndicesBackward0         0.00%      97.000us         0.01%       1.320ms     110.000us       0.000us         0.00%       9.989ms     832.417us           0 b           0 b     368.03 Mb           0 b            12            --  
                                       aten::as_strided         0.01%       1.316ms         0.01%       1.316ms       1.400us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           940            --  
                                          ReluBackward0         0.00%     213.000us         0.01%       1.288ms      46.000us       0.000us         0.00%       5.949ms     212.464us           0 b           0 b     482.97 Mb           0 b            28            --  
                                     aten::_convolution         0.00%     148.000us         0.01%       1.265ms     316.250us       0.000us         0.00%       6.662ms       1.665ms           0 b           0 b     189.06 Mb           0 b             4            --  
                                            aten::relu_         0.00%     417.000us         0.01%       1.262ms      45.071us       0.000us         0.00%       4.048ms     144.571us           0 b           0 b           0 b           0 b            28            --  
                 aten::max_pool2d_with_indices_backward         0.00%     393.000us         0.01%       1.223ms     101.917us       7.824ms         0.07%       9.989ms     832.417us           0 b           0 b     368.03 Mb     290.78 Mb            12            --  
                                    aten::empty_strided         0.01%       1.215ms         0.01%       1.215ms      13.207us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       1.58 Gb       1.58 Gb            92            --  
                                     aten::view_as_real         0.00%       1.133ms         0.00%       1.133ms       5.901us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                               aten::threshold_backward         0.00%     629.000us         0.00%       1.075ms      38.393us       5.949ms         0.05%       5.949ms     212.464us           0 b           0 b     482.97 Mb     482.97 Mb            28            --  
                                aten::cudnn_convolution         0.00%     495.000us         0.00%     848.000us     212.000us       5.044ms         0.04%       5.044ms       1.261ms           0 b           0 b     189.06 Mb     188.99 Mb             4            --  
                                       aten::clamp_min_         0.00%     385.000us         0.00%     845.000us      30.179us       4.048ms         0.03%       4.048ms     144.571us           0 b           0 b           0 b           0 b            28            --  
                                          aten::reshape         0.00%     567.000us         0.00%     832.000us       5.474us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           152            --  
                                                aten::t         0.00%     399.000us         0.00%     806.000us      13.433us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                          aten::dropout         0.00%      44.000us         0.00%     699.000us      87.375us       0.000us         0.00%     126.000us      15.750us           0 b           0 b      16.25 Mb           0 b             8            --  
                                       aten::max_pool2d         0.00%      67.000us         0.00%     686.000us      57.167us       0.000us         0.00%       3.216ms     268.000us           0 b           0 b     258.75 Mb           0 b            12            --  
                                   aten::native_dropout         0.00%     217.000us         0.00%     655.000us      81.875us     126.000us         0.00%     126.000us      15.750us           0 b           0 b      16.25 Mb           0 b             8            --  
                          aten::max_pool2d_with_indices         0.00%     428.000us         0.00%     619.000us      51.583us       3.216ms         0.03%       3.216ms     268.000us           0 b           0 b     258.75 Mb     258.75 Mb            12            --  
                                        aten::unsqueeze         0.00%     475.000us         0.00%     598.000us       7.475us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            80            --  
                                          aten::permute         0.00%     429.000us         0.00%     581.000us       4.539us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      87.000us         0.00%     578.000us      72.250us       0.000us         0.00%     131.000us      16.375us           0 b           0 b      -3.25 Mb     -16.25 Mb             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      57.000us         0.00%     513.000us     128.250us       0.000us         0.00%     932.000us     233.000us           0 b           0 b      -9.00 Mb     -18.00 Mb             4            --  
                                          aten::resize_         0.00%     500.000us         0.00%     500.000us       3.788us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       9.00 Mb       9.00 Mb           132            --  
                                 NativeDropoutBackward0         0.00%      62.000us         0.00%     491.000us      61.375us       0.000us         0.00%     131.000us      16.375us           0 b           0 b      13.00 Mb           0 b             8            --  
                                            aten::_conj         0.00%     406.000us         0.00%     479.000us       4.990us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96            --  
                                            aten::zero_         0.00%     104.000us         0.00%     468.000us      19.500us       0.000us         0.00%       1.482ms      61.750us           0 b           0 b           0 b           0 b            24            --  
                             AdaptiveAvgPool2DBackward0         0.00%      26.000us         0.00%     456.000us     114.000us       0.000us         0.00%     932.000us     233.000us           0 b           0 b       9.00 Mb           0 b             4            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%     114.000us         0.00%     430.000us     107.500us     894.000us         0.01%     932.000us     233.000us           0 b           0 b       9.00 Mb           0 b             4            --  
                          aten::native_dropout_backward         0.00%     171.000us         0.00%     429.000us      53.625us     131.000us         0.00%     131.000us      16.375us           0 b           0 b      13.00 Mb           0 b             8            --  
                                        aten::transpose         0.00%     264.000us         0.00%     407.000us       6.783us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                        cudaMemsetAsync         0.00%     374.000us         0.00%     374.000us      15.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                       aten::contiguous         0.00%      22.000us         0.00%     361.000us      45.125us       0.000us         0.00%     721.000us      90.125us           0 b           0 b      77.25 Mb           0 b             8            --  
                                  cudaStreamSynchronize         0.00%     346.000us         0.00%     346.000us      28.833us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                   aten::_reshape_alias         0.00%     289.000us         0.00%     289.000us       1.853us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           156            --  
                              aten::adaptive_avg_pool2d         0.00%      21.000us         0.00%     260.000us      65.000us       0.000us         0.00%     971.000us     242.750us           0 b           0 b       9.00 Mb           0 b             4            --  
