[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing ResNet18_CIFAR100_Conv2dRFFTFunction_date-20240212-220618.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::view_as_real         0.00%       2.242ms         0.00%       2.242ms       3.593us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                     aten::_convolution         0.00%     181.000us         0.00%       2.032ms      72.571us       0.000us         0.00%      22.440ms     801.429us           0 b           0 b       1.10 Gb           0 b            28            --  
                                       aten::contiguous         0.00%      84.000us         0.00%       1.853ms      35.635us       0.000us         0.00%      11.801ms     226.942us           0 b           0 b       1.27 Gb           0 b            52            --  
                                aten::cudnn_convolution         0.00%       1.102ms         0.00%       1.851ms      66.107us      22.440ms         0.06%      22.440ms     801.429us           0 b           0 b       1.10 Gb       1.10 Gb            28            --  
                                            aten::relu_         0.00%     597.000us         0.00%       1.729ms      25.426us       0.000us         0.00%      19.109ms     281.015us           0 b           0 b           0 b           0 b            68            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      33.000us         0.00%       1.638ms     409.500us       0.000us         0.00%      19.405ms       4.851ms           0 b           0 b     196.00 Mb    -588.00 Mb             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      25.000us         0.00%       1.605ms     401.250us       0.000us         0.00%      19.405ms       4.851ms           0 b           0 b     784.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      79.000us         0.00%       1.580ms     395.000us      16.326ms         0.04%      19.405ms       4.851ms           0 b           0 b     784.00 Mb     784.00 Mb             4            --  
                                    aten::empty_strided         0.00%       1.516ms         0.00%       1.516ms       6.891us       0.000us         0.00%       0.000us       0.000us     147.00 Mb     147.00 Mb       5.15 Gb       5.15 Gb           220            --  
                                          aten::reshape         0.00%     951.000us         0.00%       1.376ms       3.276us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           420            --  
                                          aten::permute         0.00%     946.000us         0.00%       1.323ms       3.180us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                        aten::unsqueeze         0.00%       1.012ms         0.00%       1.310ms       5.038us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     216.000us         0.00%       1.260ms     315.000us       0.000us         0.00%     106.000us      26.500us           0 b           0 b     802.00 Kb    -512.00 Kb             4            --  
                                       aten::clamp_min_         0.00%     551.000us         0.00%       1.132ms      16.647us      19.109ms         0.05%      19.109ms     281.015us           0 b           0 b           0 b           0 b            68            --  
                                            aten::_conj         0.00%     807.000us         0.00%     961.000us       3.080us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                          aten::resize_         0.00%     948.000us         0.00%     948.000us       2.279us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                         AddmmBackward0         0.00%     143.000us         0.00%     814.000us     203.500us       0.000us         0.00%      76.000us      19.000us           0 b           0 b       1.28 Mb           0 b             4            --  
                                            aten::zero_         0.00%      23.000us         0.00%     710.000us      59.167us       0.000us         0.00%       3.079ms     256.583us           0 b           0 b           0 b           0 b            12            --  
                                               aten::mm         0.00%     235.000us         0.00%     470.000us      58.750us      76.000us         0.00%      76.000us       9.500us           0 b           0 b       1.28 Mb       1.28 Mb             8        52.429  
                                   aten::_reshape_alias         0.00%     455.000us         0.00%     455.000us       1.073us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           424            --  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      38.000us         0.00%     381.000us      95.250us       0.000us         0.00%     101.000us      25.250us           0 b           0 b      24.00 Mb    -512.00 Kb             4            --  
                                        aten::_neg_view         0.00%     324.000us         0.00%     380.000us       3.654us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                      aten::as_strided_         0.00%     376.000us         0.00%     376.000us       0.904us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -384.88 Mb    -384.88 Mb           416            --  
                                           aten::linear         0.00%      40.000us         0.00%     357.000us      89.250us       0.000us         0.00%      77.000us      19.250us           0 b           0 b     100.00 Kb           0 b             4            --  
                                          MeanBackward1         0.00%      50.000us         0.00%     343.000us      85.750us       0.000us         0.00%     101.000us      25.250us           0 b           0 b      24.50 Mb           0 b             4            --  
    autograd::engine::evaluate_function: CloneBackward0         0.00%     297.000us         0.00%     323.000us       6.212us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            52            --  
                                  cudaStreamSynchronize         0.00%     319.000us         0.00%     319.000us      26.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::zeros         0.00%     159.000us         0.00%     292.000us      36.500us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
