-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaBindTexture         0.00%     166.000us         0.00%     166.000us      20.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
                                             TBackward0         0.00%      45.000us         0.00%     157.000us      13.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                      aten::as_strided_         0.00%     147.000us         0.00%     147.000us       1.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                         cudaEventQuery         0.00%     104.000us         0.00%     104.000us       6.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                           aten::detach         0.00%      32.000us         0.00%      91.000us      22.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      27.000us         0.00%      89.000us      22.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                            aten::alias         0.00%      82.000us         0.00%      82.000us       0.641us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                                  ReshapeAliasBackward0         0.00%      19.000us         0.00%      62.000us      15.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 23.912s
Self CUDA time total: 11.739s

-----------------------------------------------------------------------------------------------------------------------------
Showing AlexNet_CIFAR10_Conv2dRFFTPhasorFunction_date-20240129-044012.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%     294.000us        51.79%        9.183s        2.296s       0.000us         0.00%        2.261s     565.313ms      36.75 Mb      -1.05 Kb           0 b           0 b             4            --  
