-----------------------------------------------------------------------------------------------------------------------------
Showing EfficientNetB3_CIFAR10_Conv2dRFFTFunction_date-20240129-071732.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       SigmoidBackward0         0.00%     761.000us         0.07%      54.809ms     527.010us       0.000us         0.00%     227.000us       2.183us           0 b           0 b       4.70 Mb           0 b           104            --  
                                 aten::sigmoid_backward         0.00%       1.752ms         0.07%      54.048ms     519.692us     227.000us         0.00%     227.000us       2.183us           0 b           0 b       4.70 Mb       4.70 Mb           104            --  
                                             aten::real         0.02%      13.376ms         0.06%      49.494ms      20.022us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
                                             aten::imag         0.02%      13.599ms         0.06%      46.026ms      18.619us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
                                       aten::empty_like         0.02%      13.939ms         0.05%      42.669ms      13.317us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      37.83 Gb           0 b          3204            --  
                                           aten::select         0.03%      27.201ms         0.04%      32.902ms       6.655us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                    aten::empty_strided         0.04%      32.280ms         0.04%      32.280ms      11.529us       0.000us         0.00%       0.000us       0.000us      36.75 Mb      36.75 Mb      22.29 Gb      22.29 Gb          2800            --  
                                     aten::view_as_real         0.03%      23.987ms         0.03%      23.987ms       4.852us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4944            --  
                                       aten::as_strided         0.02%      20.109ms         0.02%      20.109ms       1.325us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         15172            --  
                                          aten::reshape         0.02%      12.678ms         0.02%      17.731ms       5.060us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3504            --  
                                        aten::unsqueeze         0.01%      12.129ms         0.02%      16.030ms       7.782us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2060            --  
                                            aten::slice         0.01%      11.268ms         0.02%      15.308ms       4.661us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3284            --  
                                          aten::permute         0.01%      10.810ms         0.02%      14.745ms       4.474us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3296            --  
                                          aten::resize_         0.02%      14.662ms         0.02%      14.662ms       4.064us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.84 Gb       2.84 Gb          3608            --  
                                            aten::_conj         0.01%      10.101ms         0.01%      12.061ms       4.879us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2472            --  
