[0m-----------------------------------------------------------------------------------------------------------------------------[0m
[0mShowing InceptionV3_CIFAR10_Conv2dRFFTFunction_date-20240129-061235.pt[0m
[0m-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::relu_         0.01%       7.463ms         0.35%     409.928ms       1.068ms       0.000us         0.00%      16.008ms      41.688us           0 b           0 b           0 b           0 b           384            --  
                                       aten::clamp_min_         0.01%       6.372ms         0.34%     402.465ms       1.048ms      16.008ms         0.03%      16.008ms      41.688us           0 b           0 b           0 b           0 b           384            --  
                                           aten::conv2d         0.00%       1.831ms         0.20%     235.104ms       1.507ms       0.000us         0.00%      42.282ms     271.038us           0 b           0 b     585.95 Mb           0 b           156    269495.710  
                                      aten::convolution         0.00%       3.687ms         0.20%     233.273ms       1.495ms       0.000us         0.00%      42.282ms     271.038us           0 b           0 b     585.95 Mb           0 b           156            --  
                                     aten::_convolution         0.00%       2.549ms         0.20%     229.586ms       1.472ms       0.000us         0.00%      42.282ms     271.038us           0 b           0 b     585.95 Mb           0 b           156            --  
                                aten::cudnn_convolution         0.07%      84.209ms         0.19%     227.037ms       1.455ms      42.282ms         0.07%      42.282ms     271.038us           0 b           0 b     585.95 Mb    -174.73 Mb           156            --  
                                            aten::randn         0.00%     162.000us         0.19%     221.069ms      27.634ms       0.000us         0.00%       0.000us       0.000us      65.48 Mb           0 b           0 b           0 b             8            --  
                                          aten::normal_         0.19%     220.763ms         0.19%     220.763ms      27.595ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             8            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%     418.000us         0.12%     141.686ms       3.936ms       0.000us         0.00%      26.443ms     734.528us           0 b           0 b     840.00 Kb    -488.87 Mb            36            --  
                                     AvgPool2DBackward0         0.00%     345.000us         0.12%     141.268ms       3.924ms       0.000us         0.00%      26.443ms     734.528us           0 b           0 b     489.69 Mb           0 b            36            --  
                              aten::avg_pool2d_backward         0.00%     846.000us         0.12%     140.923ms       3.915ms      26.443ms         0.04%      26.443ms     734.528us           0 b           0 b     489.69 Mb     489.69 Mb            36            --  
                                           aten::linear         0.00%     225.000us         0.10%     114.776ms      14.347ms       0.000us         0.00%     312.000us      39.000us           0 b           0 b     254.00 Kb           0 b             8            --  
                                            aten::addmm         0.00%     872.000us         0.10%     114.348ms      14.293ms     312.000us         0.00%     312.000us      39.000us           0 b           0 b     254.00 Kb     254.00 Kb             8       100.925  
                                            aten::empty         0.08%      98.250ms         0.08%      98.250ms       7.544us       0.000us         0.00%       0.000us       0.000us      65.48 Mb      65.48 Mb     600.43 Gb     600.43 Gb         13024            --  
                                              aten::cat         0.00%       3.037ms         0.07%      85.152ms       1.331ms       6.597ms         0.01%       6.597ms     103.078us           0 b           0 b     717.25 Mb     717.25 Mb            64            --  
                                             aten::real         0.01%      14.462ms         0.03%      39.962ms      14.956us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                              aten::adaptive_avg_pool2d         0.00%      87.000us         0.03%      37.904ms       4.738ms       0.000us         0.00%     264.000us      33.000us           0 b           0 b     704.00 Kb           0 b             8            --  
                                             aten::mean         0.00%       1.141ms         0.03%      37.817ms       4.727ms     264.000us         0.00%     264.000us      33.000us           0 b           0 b     704.00 Kb     704.00 Kb             8            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     194.000us         0.03%      35.494ms       2.218ms       0.000us         0.00%      18.332ms       1.146ms           0 b           0 b     224.48 Mb    -489.78 Mb            16            --  
                          MaxPool2DWithIndicesBackward0         0.00%     173.000us         0.03%      35.300ms       2.206ms       0.000us         0.00%      18.332ms       1.146ms           0 b           0 b     714.26 Mb           0 b            16            --  
                 aten::max_pool2d_with_indices_backward         0.00%     472.000us         0.03%      35.127ms       2.195ms      15.245ms         0.02%      18.332ms       1.146ms           0 b           0 b     714.26 Mb     681.94 Mb            16            --  
                                       aten::max_pool2d         0.00%     175.000us         0.03%      34.099ms       2.131ms       0.000us         0.00%       5.981ms     373.812us           0 b           0 b     522.10 Mb           0 b            16            --  
                          aten::max_pool2d_with_indices         0.00%     957.000us         0.03%      33.924ms       2.120ms       5.981ms         0.01%       5.981ms     373.812us           0 b           0 b     522.10 Mb     522.10 Mb            16            --  
                                       aten::empty_like         0.01%      10.586ms         0.03%      33.312ms      13.476us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      62.21 Gb           0 b          2472            --  
                                          aten::resize_         0.03%      31.296ms         0.03%      31.296ms       5.403us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     147.39 Gb     147.39 Gb          5792            --  
                                    aten::empty_strided         0.02%      27.587ms         0.02%      27.587ms      10.627us       0.000us         0.00%       0.000us       0.000us      65.48 Mb      65.48 Mb      87.55 Gb      87.55 Gb          2596            --  
                                            aten::slice         0.01%      13.442ms         0.02%      18.394ms       5.335us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3448            --  
                                       aten::as_strided         0.01%      15.524ms         0.01%      15.524ms       1.589us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          9772            --  
                                           aten::select         0.01%      10.359ms         0.01%      14.733ms       5.465us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2696            --  
    autograd::engine::evaluate_function: SliceBackward0         0.00%     162.000us         0.01%      13.029ms       1.086ms       0.000us         0.00%       4.158ms     346.500us           0 b           0 b    -130.96 Mb    -458.36 Mb            12            --  
                                            aten::zero_         0.00%     163.000us         0.01%      12.801ms     266.688us       0.000us         0.00%       4.364ms      90.917us           0 b           0 b           0 b           0 b            48            --  
                                         SliceBackward0         0.00%      46.000us         0.01%      12.706ms       1.059ms       0.000us         0.00%       2.475ms     206.250us           0 b           0 b     196.44 Mb           0 b            12            --  
                                   aten::slice_backward         0.00%      94.000us         0.01%      12.660ms       1.055ms       0.000us         0.00%       2.475ms     206.250us           0 b           0 b     196.44 Mb           0 b            12            --  
                                           aten::narrow         0.00%       4.311ms         0.01%      12.235ms       7.479us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1636            --  
                                     aten::view_as_real         0.01%      10.999ms         0.01%      10.999ms       4.116us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2672            --  
                                          aten::reshape         0.01%       7.865ms         0.01%      10.570ms       5.912us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1788            --  
                                        aten::unsqueeze         0.01%       7.666ms         0.01%      10.127ms       8.978us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1128            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     357.000us         0.01%       9.534ms       2.384ms       0.000us         0.00%      95.000us      23.750us           0 b           0 b     322.00 Kb    -512.00 Kb             4            --  
                                          aten::permute         0.01%       7.104ms         0.01%       9.464ms       5.305us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                       aten::contiguous         0.00%     329.000us         0.01%       8.256ms     114.667us       0.000us         0.00%       9.279ms     128.875us           0 b           0 b       1.02 Gb           0 b            72            --  
      autograd::engine::evaluate_function: MulBackward0         0.00%     106.000us         0.01%       6.324ms     527.000us       0.000us         0.00%     568.000us      47.333us         -96 b         -96 b       1.39 Mb     -65.48 Mb            12            --  
                                       aten::avg_pool2d         0.00%       1.561ms         0.01%       6.292ms     157.300us      15.840ms         0.02%      15.840ms     396.000us           0 b           0 b     494.10 Mb     494.10 Mb            40            --  
                                           MulBackward0         0.00%      72.000us         0.01%       6.218ms     518.167us       0.000us         0.00%     568.000us      47.333us           0 b           0 b      66.87 Mb           0 b            12            --  
autograd::engine::evaluate_function: SelectBackward0...         0.00%      87.000us         0.01%       5.912ms     492.667us       0.000us         0.00%       1.368ms     114.000us           0 b           0 b     129.57 Mb     -66.87 Mb            12            --  
                                        SelectBackward0         0.00%      40.000us         0.00%       5.825ms     485.417us       0.000us         0.00%       1.368ms     114.000us           0 b           0 b     196.44 Mb           0 b            12            --  
                                  aten::select_backward         0.00%     111.000us         0.00%       5.785ms     482.083us       0.000us         0.00%       1.368ms     114.000us           0 b           0 b     196.44 Mb           0 b            12            --  
                                            aten::zeros         0.00%     239.000us         0.00%       5.614ms     175.438us       0.000us         0.00%       1.536ms      48.000us          32 b           0 b     392.88 Mb           0 b            32            --  
                                            aten::_conj         0.00%       3.323ms         0.00%       3.873ms       8.645us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           448            --  
      autograd::engine::evaluate_function: CatBackward0         0.00%     873.000us         0.00%       3.013ms      47.078us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
                                            aten::alias         0.00%       2.996ms         0.00%       2.996ms       3.841us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780            --  
                                   aten::_reshape_alias         0.00%       2.812ms         0.00%       2.812ms       1.566us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1796            --  
                                 cudaFuncSetCacheConfig         0.00%       2.734ms         0.00%       2.734ms       0.891us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3068            --  
                                      aten::as_strided_         0.00%       2.710ms         0.00%       2.710ms       1.519us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1784            --  
                                             aten::view         0.00%       2.410ms         0.00%       2.410ms       3.154us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           764            --  
                                           CatBackward0         0.00%     669.000us         0.00%       2.140ms      33.438us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            64            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 116.888s
Self CUDA time total: 63.380s
[0m
