-----------------------------------------------------------------------------------------------------------------------------
Showing ResNet18_CIFAR10_Conv2dRFFTFunction_date-20240125-063434.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
      autograd::engine::evaluate_function: AddBackward0         0.00%     287.000us         0.00%     326.000us      10.188us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                              aten::div         0.00%     229.000us         0.00%     310.000us      77.500us     100.000us         0.00%     100.000us      25.000us           0 b           0 b      24.50 Mb      24.50 Mb             4            --  
                              aten::adaptive_avg_pool2d         0.00%      26.000us         0.00%     296.000us      74.000us       0.000us         0.00%     224.000us      56.000us           0 b           0 b     512.00 Kb           0 b             4            --  
                                            aten::alias         0.00%     295.000us         0.00%     295.000us       0.709us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                          aten::max_pool2d_with_indices         0.00%     185.000us         0.00%     293.000us      73.250us       6.471ms         0.02%       6.471ms       1.618ms           0 b           0 b     592.00 Mb     592.00 Mb             4            --  
                                             aten::mean         0.00%     179.000us         0.00%     270.000us      67.500us     224.000us         0.00%     224.000us      56.000us           0 b           0 b     512.00 Kb     512.00 Kb             4            --  
                                            aten::zeros         0.00%      97.000us         0.00%     221.000us      27.625us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                        aten::transpose         0.00%     138.000us         0.00%     201.000us      10.050us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20            --  
                                           aten::detach         0.00%      34.000us         0.00%      91.000us      22.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      30.000us         0.00%      90.000us      22.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
