-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::slice         0.01%       4.762ms         0.01%       6.603ms       5.079us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1300            --  
                                             aten::real         0.00%       1.821ms         0.01%       6.593ms      21.131us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                       aten::empty_like         0.00%       2.017ms         0.01%       6.412ms      13.819us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      62.03 Gb           0 b           464            --  
                                             aten::imag         0.00%       1.777ms         0.01%       6.135ms      19.663us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%     321.000us         0.01%       5.087ms     254.350us       0.000us         0.00%       7.805ms     390.250us           0 b           0 b      82.27 Mb    -291.35 Mb            20            --  
                                           aten::narrow         0.00%       1.672ms         0.01%       4.943ms       6.790us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           728            --  
                          MaxPool2DWithIndicesBackward0         0.00%     201.000us         0.01%       4.766ms     238.300us       0.000us         0.00%       7.805ms     390.250us           0 b           0 b     373.62 Mb           0 b            20            --  
                 aten::max_pool2d_with_indices_backward         0.00%     743.000us         0.01%       4.565ms     228.250us       5.549ms         0.02%       7.805ms     390.250us           0 b           0 b     373.62 Mb     278.34 Mb            20            --  
                                           aten::select         0.01%       3.637ms         0.01%       4.399ms       7.050us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                       aten::as_strided         0.01%       4.011ms         0.01%       4.011ms       1.391us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2884            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     514.000us         0.01%       3.362ms     280.167us       0.000us         0.00%      16.105ms       1.342ms           0 b           0 b       1.78 Gb      -2.53 Mb            12            --  
                                     aten::view_as_real         0.01%       3.247ms         0.01%       3.247ms       5.204us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           624            --  
                                    aten::empty_strided         0.00%       2.636ms         0.00%       2.636ms      11.169us       0.000us         0.00%       0.000us       0.000us       9.19 Mb       9.19 Mb      30.26 Gb      30.26 Gb           236            --  
                                          aten::reshape         0.00%       1.771ms         0.00%       2.503ms       5.303us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           472            --  
                                            aten::relu_         0.00%     776.000us         0.00%       2.286ms      38.100us       0.000us         0.00%       6.907ms     115.117us           0 b           0 b           0 b           0 b            60            --  
                                         AddmmBackward0         0.00%     376.000us         0.00%       2.097ms     174.750us       0.000us         0.00%      16.009ms       1.334ms           0 b           0 b       1.78 Gb           0 b            12            --  
                                          aten::permute         0.00%       1.478ms         0.00%       2.002ms       4.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                        aten::unsqueeze         0.00%       1.538ms         0.00%       1.959ms       7.535us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260            --  
                                           aten::linear         0.00%     130.000us         0.00%       1.625ms     135.417us       0.000us         0.00%      23.743ms       1.979ms           0 b           0 b     514.00 Kb           0 b            12            --  
                                            aten::_conj         0.00%       1.288ms         0.00%       1.521ms       4.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           312            --  
                                       aten::clamp_min_         0.00%     773.000us         0.00%       1.510ms      25.167us       6.907ms         0.02%       6.907ms     115.117us           0 b           0 b           0 b           0 b            60            --  
                                          aten::resize_         0.00%       1.490ms         0.00%       1.490ms       3.548us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       1.53 Mb       1.53 Mb           420            --  
                                            aten::zero_         0.00%     147.000us         0.00%       1.415ms      44.219us       0.000us         0.00%       1.472ms      46.000us           0 b           0 b           0 b           0 b            32            --  
                                            aten::addmm         0.00%     739.000us         0.00%       1.329ms     110.750us      23.743ms         0.09%      23.743ms       1.979ms           0 b           0 b     514.00 Kb     514.00 Kb            12         3.827  
                                               aten::mm         0.00%     614.000us         0.00%       1.295ms      53.958us      16.009ms         0.06%      16.009ms     667.042us           0 b           0 b       1.78 Gb       1.78 Gb            24         7.653  
                                       aten::max_pool2d         0.00%     116.000us         0.00%       1.113ms      55.650us       0.000us         0.00%       2.869ms     143.450us           0 b           0 b     284.96 Mb           0 b            20            --  
                          aten::max_pool2d_with_indices         0.00%     684.000us         0.00%     997.000us      49.850us       2.869ms         0.01%       2.869ms     143.450us           0 b           0 b     284.96 Mb     284.96 Mb            20            --  
                                   aten::_reshape_alias         0.00%     764.000us         0.00%     764.000us       1.605us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           476            --  
                                                aten::t         0.00%     328.000us         0.00%     697.000us      11.617us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                          aten::dropout         0.00%      36.000us         0.00%     655.000us      81.875us       0.000us         0.00%      36.000us       4.500us           0 b           0 b     640.00 Kb           0 b             8            --  
                                        aten::_neg_view         0.00%     550.000us         0.00%     628.000us       6.038us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           104            --  
                                   aten::native_dropout         0.00%     216.000us         0.00%     619.000us      77.375us      36.000us         0.00%      36.000us       4.500us           0 b           0 b     640.00 Kb           0 b             8            --  
autograd::engine::evaluate_function: NativeDropoutBa...         0.00%      93.000us         0.00%     595.000us      74.375us       0.000us         0.00%      11.000us       1.375us           0 b           0 b    -128.00 Kb    -640.00 Kb             8            --  
                                      aten::as_strided_         0.00%     585.000us         0.00%     585.000us       1.406us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                 cudaFuncSetCacheConfig         0.00%     546.000us         0.00%     546.000us       1.312us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                                 NativeDropoutBackward0         0.00%      57.000us         0.00%     502.000us      62.750us       0.000us         0.00%      11.000us       1.375us           0 b           0 b     512.00 Kb           0 b             8            --  
autograd::engine::evaluate_function: AdaptiveAvgPool...         0.00%      53.000us         0.00%     468.000us     117.000us       0.000us         0.00%     114.000us      28.500us           0 b           0 b      -1.53 Mb      -3.06 Mb             4            --  
                          aten::native_dropout_backward         0.00%     164.000us         0.00%     445.000us      55.625us      11.000us         0.00%      11.000us       1.375us           0 b           0 b     512.00 Kb           0 b             8            --  
                             AdaptiveAvgPool2DBackward0         0.00%      27.000us         0.00%     415.000us     103.750us       0.000us         0.00%     114.000us      28.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                    aten::_adaptive_avg_pool2d_backward         0.00%      92.000us         0.00%     388.000us      97.000us     106.000us         0.00%     114.000us      28.500us           0 b           0 b       1.53 Mb           0 b             4            --  
                                        aten::transpose         0.00%     247.000us         0.00%     369.000us       6.150us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                             aten::view         0.00%     340.000us         0.00%     340.000us       2.931us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           116            --  
                                        cudaMemsetAsync         0.00%     319.000us         0.00%     319.000us      26.583us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                            aten::alias         0.00%     311.000us         0.00%     311.000us       0.748us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           416            --  
                              aten::adaptive_avg_pool2d         0.00%      18.000us         0.00%     279.000us      69.750us       0.000us         0.00%     155.000us      38.750us           0 b           0 b       1.53 Mb           0 b             4            --  
                             aten::_adaptive_avg_pool2d         0.00%      99.000us         0.00%     261.000us      65.250us     155.000us         0.00%     155.000us      38.750us           0 b           0 b       1.53 Mb           0 b             4            --  
        autograd::engine::evaluate_function: TBackward0         0.00%     105.000us         0.00%     253.000us      21.083us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                  cudaStreamSynchronize         0.00%     243.000us         0.00%     243.000us      20.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                       aten::zeros_like         0.00%      30.000us         0.00%     226.000us      56.500us       0.000us         0.00%       8.000us       2.000us           0 b           0 b       1.53 Mb           0 b             4            --  
                                            aten::zeros         0.00%      90.000us         0.00%     183.000us      22.875us       0.000us         0.00%       0.000us       0.000us          32 b           0 b           0 b           0 b             8            --  
                                             TBackward0         0.00%      43.000us         0.00%     148.000us      12.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                           aten::expand         0.00%      68.000us         0.00%     101.000us       6.312us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.00%      30.000us         0.00%      92.000us      23.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                           aten::detach         0.00%      33.000us         0.00%      91.000us      22.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                  ReshapeAliasBackward0         0.00%      18.000us         0.00%      62.000us      15.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
                                                 detach         0.00%      58.000us         0.00%      58.000us      14.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 55.571s
Self CUDA time total: 27.817s


-----------------------------------------------------------------------------------------------------------------------------
Showing VGG16_CIFAR10_Conv2dRFFTPhasorFunction_date-20240125-062929.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.04%      16.921ms        69.39%       30.586s      23.821ms        1.689s         7.65%        1.692s       1.318ms           0 b           0 b           0 b      -9.31 Mb          1284            --  
                                          ProfilerStep*         0.00%     500.000us        50.21%       22.129s        5.532s       0.000us         0.00%        6.435s        1.609s       4.59 Mb      -1.05 Kb           0 b           0 b             4            --  
                                        cudaMemcpyAsync        33.19%       14.629s        33.19%       14.629s      87.079ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           168            --  
                                               aten::to         0.00%     170.000us        32.94%       14.521s        1.210s       0.000us         0.00%       4.881ms     406.750us       9.19 Mb           0 b       9.19 Mb           0 b            12            --  
                                         aten::_to_copy         0.00%     298.000us        32.94%       14.521s        1.210s       0.000us         0.00%       4.881ms     406.750us       9.19 Mb           0 b       9.19 Mb           0 b            12            --  
autograd::engine::evaluate_function: ToCopyBackward0...         0.00%     188.000us        32.94%       14.518s        3.629s       0.000us         0.00%       3.326ms     831.500us       9.19 Mb           0 b      -9.35 Mb      -9.35 Mb             4            --  
                                        ToCopyBackward0         0.00%      34.000us        32.94%       14.517s        3.629s       0.000us         0.00%       3.326ms     831.500us       9.19 Mb           0 b           0 b           0 b             4            --  
autograd::engine::evaluate_function: Conv2dRFFTPhaso...         0.00%       1.222ms        15.83%        6.979s     134.210ms       0.000us         0.00%       10.983s     211.210ms           0 b           0 b      27.68 Gb    -943.53 Mb            52            --  
