-----------------------------------------------------------------------------------------------------------------------------
Showing DenseNet121_CIFAR10_Conv2dRFFTFunction_date-20240125-063411.pt
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total KFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::reshape         0.01%       7.651ms         0.02%      10.775ms       2.827us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3812            --  
                                           CatBackward0         0.00%       2.568ms         0.01%      10.654ms      42.960us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           248            --  
                                        aten::unsqueeze         0.01%       7.960ms         0.01%      10.370ms       4.357us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2380            --  
                                          aten::permute         0.01%       7.558ms         0.01%      10.361ms       2.721us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
                                            aten::_conj         0.01%       6.323ms         0.01%       7.645ms       2.677us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2856            --  
                                          aten::resize_         0.01%       7.290ms         0.01%       7.290ms       1.914us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3808            --  
autograd::engine::evaluate_function: MaxPool2DWithIn...         0.00%      34.000us         0.01%       5.959ms       1.490ms       0.000us         0.00%       2.478ms     619.500us           0 b           0 b      24.50 Mb     -73.50 Mb             4            --  
                          MaxPool2DWithIndicesBackward0         0.00%      27.000us         0.01%       5.925ms       1.481ms       0.000us         0.00%       2.478ms     619.500us           0 b           0 b      98.00 Mb           0 b             4            --  
                 aten::max_pool2d_with_indices_backward         0.00%      74.000us         0.01%       5.898ms       1.474ms       2.092ms         0.00%       2.478ms     619.500us           0 b           0 b      98.00 Mb      98.00 Mb             4            --  
                                        aten::_neg_view         0.00%       2.712ms         0.00%       3.147ms       3.306us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           952            --  
                                   aten::_reshape_alias         0.00%       3.141ms         0.00%       3.141ms       0.823us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3816            --  
                                            aten::alias         0.00%       3.048ms         0.00%       3.048ms       0.709us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4296            --  
                                            aten::zero_         0.00%      40.000us         0.00%       2.960ms     246.667us       0.000us         0.00%     386.000us      32.167us           0 b           0 b           0 b           0 b            12            --  
                                      aten::as_strided_         0.00%       2.821ms         0.00%       2.821ms       0.741us       0.000us         0.00%       0.000us       0.000us           0 b           0 b      -4.29 Gb      -4.29 Gb          3808            --  
                                             aten::view         0.00%       1.453ms         0.00%       1.453ms       1.495us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           972            --  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.00%      94.000us         0.00%     924.000us      77.000us       0.000us         0.00%       2.109ms     175.750us           0 b           0 b     -19.62 Mb    -110.62 Mb            12            --  
                                     AvgPool2DBackward0         0.00%      55.000us         0.00%     830.000us      69.167us       0.000us         0.00%       2.109ms     175.750us           0 b           0 b      91.00 Mb           0 b            12            --  
                                 cudaFuncSetCacheConfig         0.00%     811.000us         0.00%     811.000us       0.172us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          4704            --  
autograd::engine::evaluate_function: ConvolutionBack...         0.00%      29.000us         0.00%     792.000us     198.000us       0.000us         0.00%      13.790ms       3.447ms           0 b           0 b     -77.86 Mb     -98.00 Mb             4            --  
                              aten::avg_pool2d_backward         0.00%     136.000us         0.00%     775.000us      64.583us       2.109ms         0.00%       2.109ms     175.750us           0 b           0 b      91.00 Mb      91.00 Mb            12            --  
                                   ConvolutionBackward0         0.00%      39.000us         0.00%     763.000us     190.750us       0.000us         0.00%      13.790ms       3.447ms           0 b           0 b      20.14 Mb           0 b             4            --  
                                     cudaGetErrorString         0.00%     761.000us         0.00%     761.000us       0.092us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          8256            --  
                             aten::convolution_backward         0.00%     342.000us         0.00%     724.000us     181.000us      13.790ms         0.03%      13.790ms       3.447ms           0 b           0 b      20.14 Mb      19.86 Mb             4            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.00%     108.000us         0.00%     664.000us     166.000us       0.000us         0.00%     100.000us      25.000us           0 b           0 b     162.00 Kb    -128.00 Kb             4            --  
                                           aten::conv2d         0.00%      45.000us         0.00%     561.000us     140.250us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4   7552892.928  
                                      aten::convolution         0.00%      58.000us         0.00%     516.000us     129.000us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4            --  
                                       aten::avg_pool2d         0.00%     195.000us         0.00%     474.000us      39.500us     708.000us         0.00%     708.000us      59.000us           0 b           0 b      21.44 Mb      21.44 Mb            12            --  
                                     aten::_convolution         0.00%      37.000us         0.00%     458.000us     114.500us       0.000us         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb           0 b             4            --  
                                aten::cudnn_convolution         0.00%     256.000us         0.00%     421.000us     105.250us       1.275ms         0.00%       1.275ms     318.750us           0 b           0 b      98.00 Mb      97.71 Mb             4            --  
                                         AddmmBackward0         0.00%      84.000us         0.00%     419.000us     104.750us       0.000us         0.00%      72.000us      18.000us           0 b           0 b     288.00 Kb           0 b             4            --  
                                           aten::linear         0.00%      40.000us         0.00%     351.000us      87.750us       0.000us         0.00%     109.000us      27.250us           0 b           0 b       2.00 Kb           0 b             4            --  
                                            aten::addmm         0.00%     177.000us         0.00%     270.000us      67.500us     109.000us         0.00%     109.000us      27.250us           0 b           0 b       2.00 Kb       2.00 Kb             4       655.360  
                                  cudaStreamSynchronize         0.00%     255.000us         0.00%     255.000us      21.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                               aten::mm         0.00%     132.000us         0.00%     251.000us      31.375us      72.000us         0.00%      72.000us       9.000us           0 b           0 b     288.00 Kb     288.00 Kb             8      1310.720  
     autograd::engine::evaluate_function: MeanBackward1         0.00%      24.000us         0.00%     227.000us      56.750us       0.000us         0.00%      28.000us       7.000us           0 b           0 b       6.00 Mb    -128.00 Kb             4            --  
                                          MeanBackward1         0.00%      34.000us         0.00%     203.000us      50.750us       0.000us         0.00%      28.000us       7.000us           0 b           0 b       6.12 Mb           0 b             4            --  
                                       aten::max_pool2d         0.00%      22.000us         0.00%     160.000us      40.000us       0.000us         0.00%     835.000us     208.750us           0 b           0 b      73.50 Mb           0 b             4            --  
